Y,X,Treecover1985,Treecover1990,Treecover1995,Treecover2000,Treecover2005,Treecover2010,Treecover2015,Treecover2020
-15.5524669,-55.1606624,0.11711,0.16,0.11233,0.12619,0.12118,0.11297,0.11858,0.12685
-15.6158788,-56.0720511,0.20368,0.23002,0.21375,0.23343,0.27476,0.27256,0.25971,0.32487
-9.9521816,-54.9095191,0.13137,0.14414,0.18686,0.14274,0.15569,0.16435,0.19345,0.1352
-11.4275173,-58.7657954,0.13258,0.15682,0.17669,0.19103,0.1827,0.18017,0.16874,0.21185
-13.0772872,-55.9230401,0.10399,0.12891,0.1515,0.14458,0.1267,0.11936,0.10715,0.13786
-15.680945,-58.0921237,0.14491,0.17111,0.21448,0.17637,0.14565,0.19273,0.19215,0.17655
-14.6659919,-52.3558415,0.19947,0.26803,0.29029,0.24954,0.25995,0.24722,0.26269,0.3149
-10.2428156,-54.9911468,0.16,0.19407,0.21891,0.19589,0.19486,0.21511,0.26987,0.25102
-15.2359052,-59.3305264,0.14685,0.14465,0.1451,0.16325,0.1747,0.17961,0.17144,0.19804
-15.5455652,-54.306183,0.1207,0.12773,0.14226,0.14687,0.13177,0.11332,0.11846,0.15587
-16.4628954,-54.6275948,0.14802,0.17276,0.15929,0.17326,0.18173,0.17869,0.19712,0.19001
-15.6256129,-58.1784479,0.15913,0.23678,0.17066,0.19768,0.24103,0.23431,0.213,0.28869
-11.8740586,-55.512654,0.13503,0.15986,0.13896,0.13561,0.1682,0.16377,0.1461,0.19906
-12.5569273,-55.7335474,0.15837,0.16088,0.18141,0.19157,0.15294,0.14505,0.13976,0.15679
-14.6167904,-57.5013028,0.14721,0.16107,0.17003,0.20808,0.18566,0.17977,0.16127,0.2005
-1.7252778,-48.8742001,0.17566,0.18504,0.27093,0.28302,0.23668,0.26978,0.31988,0.37286
-3.1990613,-52.2238205,0.12463,0.1272,0.12515,0.14296,0.16886,0.17743,0.19961,0.23051
-1.5133467,-48.6151658,0.18729,0.26976,0.27045,0.3576,0.32135,0.39783,0.40656,0.39601
-1.3658422,-48.4191757,0.1732,0.19901,0.2339,0.25009,0.28249,0.29284,0.30627,0.31916
-1.0549764,-46.7736469,0.26859,0.27259,0.3099,0.3099,0.28018,0.2874,0.28689,0.34038
-6.5312688,-49.8556204,0.07713,0.14841,0.12347,0.18285,0.13656,0.16292,0.13866,0.13681
-1.1974843,-47.1761231,0.28204,0.32717,0.32185,0.25389,0.29759,0.33309,0.27467,0.27479
-1.2926249,-47.9170619,0.17064,0.16895,0.17834,0.17744,0.20301,0.21156,0.18525,0.17927
-4.2529278,-55.9990995,0.21603,0.28162,0.30831,0.28156,0.29812,0.27883,0.23493,0.28746
-4.4451173,-49.1105832,0.1692,0.21531,0.2307,0.25386,0.26182,0.22503,0.23329,0.19887
-1.5206713,-48.6948113,0.23924,0.27324,0.2962,0.32201,0.32032,0.34047,0.33784,0.36693
-5.358874,-49.1087137,0.19854,0.21371,0.20717,0.23198,0.24505,0.25359,0.24176,0.24887
-2.9941529,-47.3595755,0.18107,0.2046,0.1691,0.17052,0.17985,0.14778,0.15878,0.18541
-6.0744217,-49.8733471,0.15755,0.27537,0.17524,0.20322,0.17882,0.20131,0.20605,0.27077
-8.0411178,-50.0266354,0.20231,0.24469,0.24575,0.25759,0.24124,0.18929,0.26124,0.29164
-4.783026,-48.0758433,0.17724,0.1628,0.21675,0.18171,0.18944,0.21999,0.20959,0.26664
-0.6317756,-47.3445068,0.21997,0.26027,0.29023,0.34068,0.34205,0.32058,0.29452,0.33306
-2.4511781,-54.7204234,0.2217,0.29922,0.278,0.30157,0.29358,0.35375,0.27358,0.30959
-2.9404971,-48.9502703,0.14769,0.17795,0.18587,0.19263,0.2451,0.20808,0.12005,0.15737
-3.7687845,-49.6787824,0.22238,0.27138,0.27123,0.28971,0.29488,0.29844,0.28488,0.29276
